X,Y,Intersection,All Motorized Vehicles AADT (24 hour volume) ,% Trucks,Pedestrians Not Factored,Bicycles Not Factored,Data Collection Date,,,,,
368337.7079,5030578.569,ARGYLE AVE W @ METCALFE ST,13640,1.63%,454,10,10-Feb-15,,,,,
371537.726,5027879.543,ASTER ST @ KILBORN AVE,5010,4.25%,79,54,08-Oct-15,,,,,
369012.8101,5032717.259,AUGUSTA ST @ RIDEAU ST,11547,8.16%,1466,224,06-Aug-15,,,,,
373110.723,5032376.576,AVIATION PKWY @ OGILVIE RD,46602,1.71%,142,10,28-Jan-15,,,,,
368673.7121,5028729.552,AYLMER AVE @ BANK ST,21637,3.98%,1422,484,15-Apr-15,,,,,
373684.7329,5028891.547,BALHARRIE AVE @ TAWNEY RD,1209,3.39%,12,21,28-May-15,,,,,
371705.0103,5024096.85,BANK ST @ 80 S OF HUNT CLUB RD/TOWNGATE PLAZA,31871,3.49%,611,8,02-Dec-15,,,,,
369445.0915,5027741.228,BANK ST @ BILLINGS TRANSIT,24767,5.11%,1327,251,06-Aug-15,,,,,
371306.8129,5024316.731,BANK ST @ CAHILL DR/DAZE ST,33292,4.01%,592,56,01-Sep-15,,,,,
368943.714,5028262.548,BANK ST @ CAMERON AVE,18633,3.32%,985,118,12-Nov-15,,,,,
375078.7501,5022203.499,BANK ST @ CONROY RD,22248,5.64%,3,12,13-Aug-15,,,,,
373672.7419,5022923.505,BANK ST @ DAVIDSON RD/LESTER RD,20041,5.15%,4,14,20-Aug-15,,,,,
370134.7211,5026479.533,BANK ST @ ERIE AVE,27201,3.84%,229,65,06-Aug-15,,,,,
368399.6381,5029398.237,BANK ST @ FIFTH AVE,15142,4.40%,3288,352,15-Apr-15,,,,,
368239.709,5029787.562,BANK ST @ GLEBE AVE,15928,4.48%,2204,163,12-Nov-15,,,,,
368481.711,5029197.556,BANK ST @ HOLMWOOD AVE,16435,5.55%,3272,331,15-Apr-15,,,,,
370851.726,5024839.52,BANK ST @ JOHNSTON RD,33628,3.47%,572,74,06-Aug-15,,,,,
369653.7181,5027427.541,BANK ST @ KILBORN AVE/BELANGER AVE,30445,3.97%,635,7,28-Jan-15,,,,,
375357.7521,5021619.495,BANK ST @ LEITRIM RD,33558,6.09%,19,8,17-Jun-15,,,,,
375357.7521,5021619.495,BANK ST @ LEITRIM RD,33229,6.41%,13,4,15-Oct-15,,,,,
377758.7649,5015947.456,BANK ST @ MITCH OWENS RD,22646,9.37%,4,8,02-Dec-15,,,,,
373336.74,5023445.509,BANK ST @ QUEENSDALE AVE,17880,5.82%,209,17,13-Aug-15,,,,,
376954.7611,5017844.469,BANK ST @ RIDEAU RD,21310,12.80%,5,5,20-Aug-15,,,,,
369077.5351,5028116.986,BANK ST @ RIVERDALE AVE,21250,4.45%,298,26,28-Jan-15,,,,,
369225.7159,5027983.546,BANK ST @ RIVERSIDE DR N,37535,3.30%,846,635,16-Jul-15,,,,,
373205.7389,5023550.509,BANK ST @ ROSEBELLA AVE,16012,6.39%,165,10,13-Aug-15,,,,,
383696.7871,5010121.412,BANK ST @ SNAKE ISLAND RD/VICTORIA ST,13621,7.75%,1,0,02-Dec-15,,,,,
373004.7381,5023708.511,BANK ST @ ST. BERNARD ST,19728,5.80%,157,12,01-Sep-15,,,,,
368140.0539,5030029.162,BANK ST @ STRATHCONA AVE,16175,5.44%,1131,570,13-Aug-15,,,,,
368734.7129,5028581.551,BANK ST @ SUNNYSIDE AVE,23185,3.89%,3265,313,15-Apr-15,,,,,
368577.7121,5028966.554,BANK ST @ WILTON CRES,20542,4.28%,703,509,15-Apr-15,,,,,
366735.6901,5009189.384,BANKFIELD RD @ FIRST LINE RD,13173,8.23%,0,0,08-Dec-15,,,,,
366735.6901,5009189.384,BANKFIELD RD @ FIRST LINE RD,10099,9.59%,0,6,30-Jun-15,,,,,
368431.703,5010157.396,BANKFIELD RD @ MANOTICK MAIN ST/RIDEAU VALLEY,17607,7.56%,0,17,30-Sep-15,,,,,
361021.677,5021566.49,BANNER RD @ GREENBANK RD,30504,2.65%,384,0,26-Feb-15,,,,,
358337.626,5006629.35,BARNSDALE RD @ EAGLESON RD,7105,5.46%,0,1,17-Nov-15,,,,,
367139.6989,5011811.409,BARNSDALE RD @ RIDEAU VALLEY DR,10790,2.84%,5,31,30-Jun-15,,,,,
362733.1229,5023880.714,BASELINE RD @ COLLEGE SQUARE SC,32802,1.60%,444,2,03-Mar-15,,,,,
366166.7041,5026028.53,BASELINE RD @ FISHER AVE,54268,2.84%,418,11,15-Jan-15,,,,,
360242.6729,5022371.496,BASELINE RD @ GUTHRIE ST,21566,2.74%,163,2,03-Mar-15,,,,,
359310.6671,5021789.491,BASELINE RD @ JOHN SUTHERLAND DR/VALLEY STREAM,22818,3.48%,226,6,03-Mar-15,,,,,
359793.6699,5022155.494,BASELINE RD @ MONTEREY DR,21956,3.05%,148,1,11-Feb-15,,,,,
361184.6789,5022932.502,BASELINE RD @ ROCKWAY CRES,30410,2.46%,72,101,04-Jun-15,,,,,
359629.669,5021987.493,BASELINE RD @ SANDCASTLE DR,21472,3.45%,98,1,18-Feb-15,,,,,
364320.694,5028685.554,BASSETT LANE @ PICCADILLY AVE,508,2.58%,24,0,19-Feb-15,,,,,
373737.7241,5033150.581,BATHGATE DR @ RAINBOW CRES S,7581,3.39%,178,36,01-Sep-15,,,,,
367248.6381,5030647.193,BAY ST @ SOMERSET ST,9311,3.73%,1523,933,24-Jun-15,,,,,
366856.7019,5031279.576,BAY ST @ SPARKS ST,8449,1.84%,1562,297,23-Apr-15,,,,,
359071.8321,5023873.174,BAYSHORE DR @ WOODRIDGE CRES N,16369,3.90%,534,1,08-Dec-15,,,,,
336774.0721,5038969.999,BAYVIEW DR W @ BISHOP DAVIS DR W,949,7.77%,1,26,02-Jul-15,,,,,
377128.731,5035239.587,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,33456,3.51%,7,10,11-Feb-15,,,,,
379155.7279,5038484.607,BEAUCHAMP AVE @ ROSLYN AVE,530,6.49%,8,292,29-Jul-15,,,,,
369035.706,5032924.589,BEAUSOLEIL DR @ COBOURG ST,6460,5.99%,242,346,07-May-15,,,,,
363173.6901,5028911.556,BEECHGROVE AVE @ LANARK AVE,1766,4.55%,131,31,18-Nov-15,,,,,
369440.706,5033803.597,BEECHWOOD AVE @ CHAMPLAIN AVE,13705,4.60%,432,391,25-Aug-15,,,,,
369512.706,5033847.597,BEECHWOOD AVE @ CHAPLEAU AVE,13747,4.65%,353,395,25-Aug-15,,,,,
369373.706,5033749.596,BEECHWOOD AVE @ LANGEVIN AVE,14184,4.43%,326,389,25-Aug-15,,,,,
369605.706,5033907.598,BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,17094,2.09%,1351,231,09-May-15,,,,,
369236.7049,5033653.596,BEECHWOOD AVE @ SPRINGFIELD RD,28273,4.04%,1421,125,08-Dec-15,,,,,
369415.706,5033785.597,BEECHWOOD AVE @ ST. CHARLES ST,16120,2.11%,571,241,09-May-15,,,,,
369415.706,5033785.597,BEECHWOOD AVE @ ST. CHARLES ST,14485,4.67%,319,357,29-Jul-15,,,,,
381872.609,5035885.767,BELCOURT BLVD @ JEANNE D'ARC BLVD,20006,1.98%,121,6,07-Aug-15,,,,,
372349.8383,5030664.106,BELFAST RD @ OC TRANSPO GARAGE ENT N/530 E OF TRAINYARDS DR,10416,11.04%,63,13,25-Nov-15,,,,,
375619.7449,5027235.532,BELGREEN DR @ STEVENAGE DR,2805,22.72%,7,8,02-Sep-15,,,,,
350430.5849,5012675.415,BELL ST @ GOULBOURN ST,507,7.18%,11,0,11-Feb-15,,,,,
364655.963,5015849.228,BERRIGAN DR @ CLARIDGE DR,6884,2.43%,969,55,25-Jun-15,,,,,
368315.9299,5032191.984,BESSERER ST @ WALLER ST,17357,11.29%,3957,11,09-Apr-15,,,,,
349415.5789,5013436.424,BEVERLY ST @ BIRDSTONE AVE,1584,3.33%,74,3,11-Mar-15,,,,,
380448.7351,5038399.599,BILBERRY DR W @ JEANNE D'ARC BLVD,11769,3.95%,309,1,25-Feb-15,,,,,
366376.4047,5017711.346,BILL LEATHEM DR @ LONGFIELDS DR,4178,2.39%,5,35,10-Jun-15,,,,,
385751.3501,5035489.42,BLACKBURN BYPASS @ PORTOBELLO BLVD,8802,4.38%,248,7,21-Oct-15,,,,,
384046.5521,5034850.028,BLACKBURN BYPS @ STRASBOURG ST,10709,2.67%,48,2,31-Mar-15,,,,,
374019.7211,5034439.591,BLAIR RD @ MONTREAL RD,28765,3.27%,76,1,11-Feb-15,,,,,
374507.726,5033198.579,BLAIR RD @ OGILVIE RD,59558,3.04%,1209,10,08-Dec-15,,,,,
374507.726,5033198.579,BLAIR RD @ OGILVIE RD,41558,2.52%,1481,124,07-Jul-15,,,,,
367352.711,5021106.49,BLAZER AVE @ PRINCE OF WALES DR,25459,2.35%,24,93,07-May-15,,,,,
375129.7449,5026189.526,BLOHM DR @ HUNT CLUB RD,29992,6.78%,7,7,17-Sep-15,,,,,
369829.7181,5027861.544,BLOSSOM DR @ CROCUS AVE,1067,0.92%,52,34,02-Jul-15,,,,,
388065.8249,5022162.473,BOUNDARY RD @ MITCH OWENS RD,8903,8.03%,1,3,02-Jul-15,,,,,
386546.8079,5026021.496,BOUNDARY RD @ RUSSELL RD,7516,9.51%,21,10,13-Aug-15,,,,,
371938.7279,5027701.541,BOWMAN RD S @ JUNO AVE S,118,0.00%,2,15,03-Sep-15,,,,,
381091.749,5035259.57,BOYER RD @ VISENEAU DR,3462,5.15%,41,6,25-Mar-15,,,,,
348502.6849,5022730.496,BRADY AVE @ OLD SECOND LINE RD,6509,2.34%,64,45,27-May-15,,,,,
366098.7011,5029523.561,BREEZEHILL AVE @ GLADSTONE AVE,7004,4.54%,266,426,13-Aug-15,,,,,
365911.897,5029953.386,BREEZEHILL AVE @ SOMERSET ST,8263,4.24%,644,774,13-Aug-15,,,,,
386507.3951,5037632.06,BREEZEWOOD ST/RUSTIC HILLS CRES @ VALIN ST,3658,3.32%,136,39,24-Jun-15,,,,,
383523.5359,5034614.313,BRIAN COBURN BLVD @ GERRY LALONDE DR,10785,2.74%,18,2,31-Mar-15,,,,,
384428.3389,5035022.308,BRIAN COBURN BLVD @ TENTH LINE RD,22782,3.72%,87,3,31-Mar-15,,,,,
368699.7041,5009932.395,BRIDGE ST/MAPLE AVE @ MANOTICK MAIN ST,23377,6.18%,94,6,30-Sep-15,,,,,
354872.6871,5015403.916,BRIDGESTONE DR @ EAGLESON RD,15978,2.98%,29,4,13-May-15,,,,,
356108.3789,5016318.265,BRIDLE PARK DR @ STONEHAVEN DR,13460,3.33%,458,49,16-Sep-15,,,,,
359645.6729,5025858.527,BRITANNIA RD @ ROWATT ST,1366,7.92%,38,33,29-Jul-15,,,,,
367447.7071,5029335.558,BRONSON AVE @ CARLING AVE/GLEBE AVE,44898,2.90%,1519,77,15-Apr-15,,,,,
367614.1721,5028936.698,BRONSON AVE @ FIFTH AVE/MADAWASKA DR,39946,2.34%,446,144,15-Apr-15,,,,,
367700.7079,5028729.553,BRONSON AVE @ HOLMWOOD AVE,41596,2.18%,324,137,15-Apr-15,,,,,
367288.7049,5029710.562,BRONSON AVE @ HWY 417 BRONSON IC121AR51,36129,2.74%,276,64,06-Aug-15,,,,,
367288.7049,5029710.562,BRONSON AVE @ HWY 417 BRONSON IC121AR51,36038,2.91%,382,26,15-Apr-15,,,,,
367318.706,5029643.561,BRONSON AVE @ IMPERIAL AVE/PLYMOUTH ST,35335,2.91%,342,4,19-Feb-15,,,,,
367922.7101,5028091.547,BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD,61442,2.38%,691,7,28-Jan-15,,,,,
367922.7101,5028091.547,BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD,53884,2.78%,685,128,15-Apr-15,,,,,
368503.2546,5026257.037,BROOKFIELD RD @ 200 W OF FLANNERY DR,8679,2.13%,191,139,06-Aug-15,,,,,
379608.731,5038304.603,BUCKSKIN WAY @ ST. LOUIS DR,2220,5.02%,39,37,08-Oct-15,,,,,
369660.2071,5029521.804,BULLOCK AVE @ CENTENNIAL BLVD,700,8.32%,56,2,28-Jan-15,,,,,
365012.6959,5030192.567,BURNSIDE AVE @ CARRUTHERS AVE,3363,1.22%,174,153,03-Jun-15,,,,,
365083.6959,5030222.568,BURNSIDE AVE @ STONEHURST AVE,3380,1.36%,112,278,03-Jun-15,,,,,
382475.7419,5039163.595,BURNT EMBER WAY @ MOCKINGBIRD DR,619,3.18%,47,5,21-Oct-15,,,,,
363866.6929,5028431.552,BYRON AVE @ KIRKWOOD AVE,17608,3.20%,504,99,18-Nov-15,,,,,
363035.689,5028061.548,BYRON AVE @ ROOSEVELT AVE,8172,1.14%,799,374,14-May-15,,,,,
365113.837,5013068.716,CAMBRIAN RD @ KILBIRNIE DR/TUCANA WAY,9682,4.06%,379,7,15-Oct-15,,,,,
368822.714,5028193.548,CAMERON AVE @ WENDOVER AVE,1070,4.59%,180,104,25-Nov-15,,,,,
350508.5849,5019177.484,CAMPEAU DR @ HERLIHEY WAY,14785,2.00%,181,5,26-Feb-15,,,,,
351807.6151,5019846.473,CAMPEAU DR @ KNUDSON DR,10646,3.43%,78,3,26-Feb-15,,,,,
352841.6241,5020476.478,CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD,80624,2.96%,5,4,08-Dec-15,,,,,
395771.817,5043413.559,CANAAN RD @ REGIONAL RD 174,19023,3.93%,1,0,14-Jan-15,,,,,
353357.6329,5022979.5,CARLING AVE @ 640 W OF RANGE RD/D.N.D. ENTRANC,29785,1.28%,1,12,08-Dec-15,,,,,
363180.6901,5026638.535,CARLING AVE @ BROADVIEW AVE,32687,2.35%,658,73,10-Jul-15,,,,,
355725.6501,5024052.51,CARLING AVE @ GRANDVIEW RD/NORTEL ENTRANCE,21486,1.73%,18,2,04-Mar-15,,,,,
365416.6989,5028038.548,CARLING AVE @ HOLLAND AVE,38166,4.19%,1163,10,10-Feb-15,,,,,
365970.7019,5028391.551,CARLING AVE @ MELROSE AVE,22935,4.33%,599,77,09-Jun-15,,,,,
364894.697,5027700.545,CARLING AVE @ MERIVALE RD,39316,3.11%,780,53,15-Oct-15,,,,,
356001.651,5023937.509,CARLING AVE @ MOODIE DR/JAMES CUMMINGS AVE W,24594,1.64%,21,27,25-Mar-15,,,,,
366829.7049,5028935.555,CARLING AVE @ PRESTON ST,37970,3.67%,888,441,09-Jun-15,,,,,
366485.703,5028717.553,CARLING AVE @ SHERWOOD DR,25290,3.68%,308,22,06-Jan-15,,,,,
350907.6151,5022246.495,CARLING AVE/STATION RD @ MARCH RD,41642,1.97%,54,21,10-Mar-15,,,,,
388299.8211,5025382.487,CARLSBAD LANE @ SABOURIN RD,140,15.22%,0,0,28-Oct-15,,,,,
348804.577,5014360.433,CARP RD @ HAZELDEAN RD,25463,4.39%,114,3,04-Mar-15,,,,,
349415.5819,5014324.431,CARP RD @ HOBIN ST/MCCOOEYE LANE,13530,4.08%,91,2,09-Dec-15,,,,,
342164.5471,5021732.505,CARP RD @ MARCH RD,12453,4.91%,0,8,02-Sep-15,,,,,
346209.563,5017160.461,CARP RD @ RICHARDSON SIDE RD,15965,10.62%,0,2,25-Nov-15,,,,,
349524.7871,5014330.211,CARP RD @ STITTSVILLE MAIN ST,22697,2.70%,89,0,04-Mar-15,,,,,
365344.617,5029411.735,CARRUTHERS AVE @ WELLINGTON ST,11701,4.94%,1092,96,01-Dec-15,,,,,
395282.6989,5024634.646,CASSANDRA ST @ TRUDEAU AVE,285,6.33%,17,10,21-May-15,,,,,
367907.7071,5030188.565,CATHERINE ST @ KENT ST,22550,2.95%,912,3,19-Feb-15,,,,,
367907.7071,5030188.565,CATHERINE ST @ KENT ST,20454,3.14%,907,53,06-Aug-15,,,,,
361877.3551,5014314.504,CEDARVIEW RD @ KENNEVALE DR,5394,2.61%,222,8,20-Aug-15,,,,,
361667.671,5014806.429,CEDARVIEW RD @ MARAVISTA DR,6079,3.34%,371,13,13-May-15,,,,,
349628.514,5024973.413,CELTIC RIDGE CRES @ MAXWELL BRIDGE RD,2073,1.66%,168,48,25-Aug-15,,,,,
362327.0129,5023204.499,CENTREPOINTE DR @ HEMMINGWOOD WAY E,12693,1.69%,194,52,30-Apr-15,,,,,
367816.7071,5029979.564,CHAMBERLAIN AVE @ LYON ST,11798,4.13%,57,54,09-Jul-15,,,,,
381519.74,5038374.593,CHAMPLAIN ST @ PLACE D'ORLEANS  SC E/PLACE D'ORLEANS,15818,4.90%,89,0,19-Feb-15,,,,,
365047.0729,5014687.236,CHAPMAN MILLS DR @ LEAMINGTON WAY/MANCINI WAY,4148,4.39%,164,30,01-Sep-15,,,,,
364841.826,5014582.921,CHAPMAN MILLS DR @ LONGFIELDS DR,13721,4.23%,166,0,11-Feb-15,,,,,
364841.826,5014582.921,CHAPMAN MILLS DR @ LONGFIELDS DR,13549,3.80%,278,46,30-Apr-15,,,,,
365528.7011,5024192.515,CHARKAY ST @ MULVAGH AVE,1191,3.30%,8,42,28-May-15,,,,,
384559.7581,5038048.573,CHARLEMAGNE BLVD @ WATTERS RD,8866,3.94%,228,12,08-Oct-15,,,,,
369251.0929,5032860.42,CHARLOTTE ST @ RIDEAU ST,34911,4.71%,842,105,01-Dec-15,,,,,
382012.7449,5037756.585,CHARTRAND AVE @ KENNEDY LANE,3221,3.22%,37,0,17-Dec-15,,,,,
364531.6951,5029023.557,CLARENDON AVE @ WELLINGTON ST,14823,4.58%,1496,134,08-Dec-15,,,,,
369274.963,5029921.562,CLEGG ST @ MAIN ST,23555,2.48%,331,7,28-Jan-15,,,,,
369487.7181,5027118.538,CLEMENTINE BLVD @ GUERTIN AVE,1892,7.54%,81,38,20-Aug-15,,,,,
369541.7181,5026884.536,CLEMENTINE BLVD @ SECORD AVE,2455,6.01%,44,26,20-Aug-15,,,,,
361638.1649,5014176.69,COBBLE HILL DR @ KENNEVALE DR,2758,6.69%,44,5,01-Dec-15,,,,,
368801.9819,5033237.143,COBOURG ST @ ST. PATRICK ST,32931,2.85%,390,631,06-Aug-15,,,,,
368731.7079,5031490.576,COLONEL BY DR @ OTTAWA UNIV. PED. XING,16980,0.22%,4880,574,08-Dec-15,,,,,
367348.5479,5026852.638,COLONEL BY DR @ UNIVERSITY RD - CARLETON,21811,0.30%,670,13,01-Dec-15,,,,,
368002.7049,5031904.581,COLONEL BY DR/MACKENZIE AVE @ DALY AVE,18142,1.46%,789,160,09-Apr-15,,,,,
369033.7101,5031064.572,CONCORD ST @ GREENFIELD AVE,6163,2.50%,443,110,08-Oct-15,,,,,
373683.7614,5025598.24,CONROY RD @ 212 N OF HUNTCLUB RD,17954,3.31%,183,43,01-Sep-15,,,,,
374573.746,5023515.508,CONROY RD @ DAVIDSON RD N,13355,5.19%,0,13,11-Jun-15,,,,,
373763.7389,5025404.522,CONROY RD @ HUNT CLUB RD,41426,5.38%,26,30,17-Sep-15,,,,,
373763.7389,5025404.522,CONROY RD @ HUNT CLUB RD,38838,4.89%,33,47,16-Jul-15,,,,,
373396.8071,5026308.455,CONROY RD @ JOHNSTON RD,28899,3.08%,139,49,15-Oct-15,,,,,
374318.7441,5024120.513,CONROY RD @ KINGSDALE AVE,12385,4.46%,12,10,30-Apr-15,,,,,
373568.186,5025878.183,CONROY RD @ LORRY GREENBERG DR,22871,3.88%,184,49,01-Sep-15,,,,,
374351.7441,5024043.512,CONROY RD @ QUEENSDALE AVE,12447,4.98%,2,6,30-Apr-15,,,,,
374288.7441,5024190.513,CONROY RD @ ROSEBELLA AVE,13727,4.24%,4,9,30-Apr-15,,,,,
373069.966,5027159.299,CONROY RD @ ST. LAURENT BLVD,27785,3.11%,338,136,01-Sep-15,,,,,
373205.2,5026793.405,CONROY RD @ THURSTON DR,29394,2.81%,120,154,01-Sep-15,,,,,
374593.746,5023467.508,CONROY RD S @ DAVIDSON RD,12414,5.39%,0,11,25-Jun-15,,,,,
362301.7781,5023614.731,CONSTELLATION CRES @ BASELINE RD,33033,1.98%,293,5,03-Mar-15,,,,,
381616.5921,5033176.837,CONTOUR ST N @ TRAILSEDGE WAY,922,2.96%,63,8,03-Nov-15,,,,,
350708.0471,5016331.504,CORIOLIS CRT/GALLANTRY WAY @ HUNTMAR DR,11143,1.96%,117,26,20-Aug-15,,,,,
357646.6589,5023152.502,CORKSTOWN RD @ HORNER DR,1851,8.85%,34,130,18-Jun-15,,,,,
372437.7249,5030196.559,CORONATION AVE @ RUSSELL RD,11211,4.14%,79,80,11-Jun-15,,,,,
370676.3849,5031611.703,COVENTRY RD @ VANIER PKWY,65963,1.91%,198,4,17-Dec-15,,,,,
363116.6879,5021655.492,CRAIG HENRY DR @ KNOXDALE RD,10932,2.68%,86,5,15-Jan-15,,,,,
366852.6641,5015298.766,CRESTHAVEN DR @ FAIRPARK DR/TIMBERLINE PRIV S,1673,9.60%,82,19,10-Jun-15,,,,,
366937.6329,5015978.533,CRESTHAVEN DR @ WATERBRIDGE DR,2301,5.77%,90,30,30-Jul-15,,,,,
366346.9011,5015471.133,CRESTWAY DR @ STRANDHERD DR,28355,2.72%,195,2,10-Mar-15,,,,,
355913.634,5015513.433,CROWNRIDGE DR @ GRASSY PLAINS DR,4953,3.27%,61,1,25-Mar-15,,,,,
356074.7899,5014981.066,CROWNRIDGE DR @ HOPE SIDE RD,8864,3.92%,2,24,30-Jun-15,,,,,
356074.7899,5014981.066,CROWNRIDGE DR @ HOPE SIDE RD,8529,5.44%,9,6,16-Sep-15,,,,,
368128.703,5032748.589,CUMBERLAND ST @ ST. PATRICK ST,9373,3.38%,1063,15,10-Feb-15,,,,,
368262.7041,5032521.586,CUMBERLAND ST @ YORK ST,7650,4.01%,2185,113,09-Apr-15,,,,,
372403.7189,5033032.583,CUMMINGS AVE @ GARDENVALE RD,6262,3.26%,409,7,11-Mar-15,,,,,
375047.734,5031119.561,CYRVILLE RD @ INNES RD,50533,3.98%,111,6,19-Feb-15,,,,,
375591.7151,4997713.291,DALMENY RD @ NIXON DR,3319,5.92%,0,3,08-Dec-15,,,,,
375591.7151,4997713.291,DALMENY RD @ NIXON DR,1892,6.41%,0,1,19-Feb-15,,,,,
372442.7351,5023600.51,D'AOUST AVE @ TIMBERMILL ST,2849,2.75%,210,24,16-Sep-15,,,,,
368941.7159,5026732.536,DATA CENTRE RD @ HERON RD,35734,4.77%,24,72,04-Jun-15,,,,,
364240.6951,5023572.509,DAVID DR @ ROWLEY AVE,1226,1.74%,68,30,22-Oct-15,,,,,
367390.711,5021523.494,DEAKIN ST @ PRINCE OF WALES DR,33554,2.53%,15,125,07-May-15,,,,,
367390.711,5021523.494,DEAKIN ST @ PRINCE OF WALES DR,33239,2.17%,6,10,03-Feb-15,,,,,
365240.566,5015570.733,DEERFOX DR @ PALMADEO DR/GATESBURY ST,1649,2.06%,84,2,20-Jan-15,,,,,
369849.103,5033264.335,DESCHAMPS AVE @ VANIER PKWY,30062,1.56%,149,40,16-Jul-15,,,,,
369849.103,5033264.335,DESCHAMPS AVE @ VANIER PKWY,29956,1.55%,164,12,09-Apr-15,,,,,
384244.7759,5032140.535,DIAMOND WAY @ NAVAN RD,7584,8.58%,11,3,08-Oct-15,,,,,
343092.4611,5022591.832,DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,8514,5.45%,2,34,04-Jun-15,,,,,
372207.9312,5032484.134,DONALD ST @ 110 E OF ST. LAURENT BLVD,19119,2.49%,551,2,11-Feb-15,,,,,
372333.72,5032480.579,DONALD ST @ ELAINE DR,11150,3.00%,402,4,25-Feb-15,,,,,
370311.7129,5032270.581,DONALD ST @ VANIER PKWY,44539,1.50%,219,66,30-Jul-15,,,,,
362152.6849,5026789.537,DOVERCOURT AVE @ SHERBOURNE RD,4826,3.70%,207,122,01-Oct-15,,,,,
375752.7189,5001292.328,DREW HENRY DR @ PHILIP ST,876,0.94%,27,41,02-Jul-15,,,,,
384356.7619,5036502.562,DU BUISSON CRES W @ GARDENWAY DR W,2167,6.97%,35,38,02-Sep-15,,,,,
383070.757,5035916.565,DU GRAND BOIS AVE @ DES PINS PL/PARK GROVE DR,1158,6.92%,45,2,17-Dec-15,,,,,
381525.7501,5035523.57,DUCLOS AVE/BARRINGTON ST @ VISENEAU DR,3551,4.94%,183,19,06-Oct-15,,,,,
381525.7501,5035523.57,DUCLOS AVE/BARRINGTON ST @ VISENEAU DR,3331,4.87%,170,21,07-Oct-15,,,,,
381525.7501,5035523.57,DUCLOS AVE/BARRINGTON ST @ VISENEAU DR,3245,4.09%,103,48,08-Jul-15,,,,,
368882.4729,5034129.017,DUFFERIN RD @ LISGAR RD/RIDEAU TER,3164,1.73%,49,25,24-Nov-15,,,,,
