RECORD,LOCATION & GEOID,TOTAL_COLLISIONS,2013_TOTAL,2014_TOTAL,2015_TOTAL,2016_TOTAL,2017_TOTAL,TOTAL_CYCLIST_COLLISIONS,2013_CYCLIST,2014_CYCLIST,2015_CYCLIST,2016_CYCLIST,2017_CYCLIST,TOTAL_PEDESTRIAN_COLLISIONS,2013_PEDESTRIAN,2014_PEDESTRIAN,2015_PEDESTRIAN,2016_PEDESTRIAN,2017_PEDESTRIAN,XCOORD,YCOORD,LONGITUDE,LATITUDE
22,4TH LINE RD btwn MCDIARMID RD & BELMEADE RD (__3ZBO2V),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,381853.49946,4998606.54030,-75.52054484000,45.12323344110
23,55 S OF RIDEAU ST @ COLONEL BY DR (0016433),3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,367938.64000,5031987.91000,-75.69315700610,45.42497564830
24,5TH LINE RD @ SNAKE ISLAND RD (0005065),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380262.76560,5007991.40140,-75.53934401950,45.20784720880
25,5TH LINE RD btwn SPRINGHILL RD & DALMENY RD (__3ZA7I4),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382158.57932,5003237.91399,-75.51595071210,45.16487169110
26,780 W OF TERRY FOX DR @ HAZELDEAN RD (0013520),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,351618.56580,5016697.73380,-75.90314454400,45.28867478420
27,8TH LINE RD @ GLENWOOD DR (0011513),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385888.11100,5010030.94830,-75.46741141820,45.22557312200
28,8TH LINE RD @ IVESON DR (0010756),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383561.44990,5015957.69050,-75.49609572710,45.27916266370
29,8TH LINE RD @ MITCH OWENS RD (0003574),13,2,4,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,382362.79590,5018774.47240,-75.51093117850,45.30463969880
30,8TH LINE RD @ PARKWAY RD (0001611),7,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,383165.79450,5016891.46060,-75.50099057630,45.28760838690
31,8TH LINE RD @ SPRINGHILL RD (0001841),2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,386917.78990,5007326.37720,-75.45474740590,45.20111975520
32,8TH LINE RD @ VAN RENS ST (0010438),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385690.80290,5010550.39840,-75.46983913550,45.23026951370
33,8TH LINE RD @ VICTORIA ST (0001616),4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,385452.79770,5011165.41780,-75.47276999850,45.23583039190
34,8TH LINE RD btwn ADAM BAKER WAY & IVESON DR (__3ZAZ9H),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383473.24505,5016167.23526,-75.49718661000,45.28105789840
35,8TH LINE RD btwn ANDREW SIMPSON DR & BRUCE ST (__3ZAZMC),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,385331.51458,5011485.55693,-75.47426263880,45.23872469540
36,8TH LINE RD btwn BYRON ST & UNITED AVE (__3ZBO4Z),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,385525.30000,5010977.91510,-75.47187714980,45.23413504610
37,8TH LINE RD btwn CASTOR RD & MARIONVILLE RD (__3ZA6WK),2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388847.89976,5002607.37926,-75.43097876790,45.15843370710
38,8TH LINE RD btwn COOPER HILL RD & FOREST GREEN CRES (__3ZA202),3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,384084.51775,5014706.94505,-75.48962939400,45.26785042510
39,8TH LINE RD btwn FOREST GREEN CRES & FOREST GREEN CRES (__3ZA201),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384268.67764,5014257.28191,-75.48735484380,45.26378384270
40,8TH LINE RD btwn FOREST GREEN CRES & PANA RD (__3ZA20Z),3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,384531.98907,5013594.80063,-75.48410638830,45.25779343950
41,8TH LINE RD btwn GLENWOOD DR & WALKER RD (__3ZBPK9),2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386034.91287,5009639.54409,-75.46560619750,45.22203458520
42,8TH LINE RD btwn MARVELVILLE RD & LAWRENCE ST (__3ZBO6I),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,387978.82581,5004641.87149,-75.44169183730,45.17684182060
43,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR (__3ZA2TG),7,2,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,382719.70129,5017952.34800,-75.50650986800,45.29720322090
44,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR (__3ZA20Y),3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,384982.05557,5012405.84401,-75.47856463830,45.24704478130
45,8TH LINE RD btwn PARKWAY RD & ADAM BAKER WAY (__3ZA204),3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383274.50629,5016633.73295,-75.49964568940,45.28527737940
46,8TH LINE RD btwn RODNEY FARM DR & PARKWAY RD (__3ZA20P),2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383117.58773,5017009.30250,-75.50158642190,45.28867403110
47,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD (__3ZA64R),2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,387290.11939,5006365.41103,-75.45016794690,45.19243008740
48,8TH LINE RD btwn VAN RENS ST & GLENWOOD DR (__3ZA64S),5,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,385788.29960,5010290.24053,-75.46864003410,45.22791756290
49,8TH LINE RD btwn WALKER RD & SPRINGHILL RD (__3ZAZGC),2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,386549.75080,5008287.29960,-75.45927363560,45.20980834710
50,9TH LINE RD @ COOPER HILL RD (0001573),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385680.81420,5016048.44920,-75.46907156340,45.27973863040
51,9TH LINE RD @ MITCH OWENS RD (0004112),2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384107.80200,5019820.46340,-75.48851518380,45.31385597840
52,9TH LINE RD @ PARKWAY RD (0001574),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384900.81190,5017936.46150,-75.47870726140,45.29681501780
53,9TH LINE RD @ VICTORIA ST (0001624),3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,387132.80700,5012213.41900,-75.45120273030,45.24506517170
54,9TH LINE RD btwn COOPER HILL RD & PANA RD (__3ZBO47),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386060.92638,5015097.65157,-75.46438297260,45.27114017010
55,9TH LINE RD btwn MARVELVILLE RD & CASTOR RD (__3ZA6WQ),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389833.06790,5005578.82009,-75.41794426840,45.18505082660
56,9TH LINE RD btwn PANA RD & VICTORIA ST (__3ZA64J),2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386779.54843,5013177.13914,-75.45554304540,45.25377731470
57,9TH LINE RD btwn PARKWAY RD & COOPER HILL RD (__3ZA1D1),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385292.50581,5016993.16690,-75.47386700760,45.28828313390
58,9TH LINE RD btwn PARKWAY RD & MITCH OWENS RD (__3ZA2SZ),2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384506.78187,5018879.53618,-75.48357876890,45.30534498330
59,9TH LINE RD btwn VICTORIA ST & SPRINGHILL RD (__3ZA6V9),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387888.09350,5010314.25597,-75.44190034340,45.22788905550
60,AARON AVE @ CARLING AVE (0002779),3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,362120.68690,5025949.53510,-75.76819939450,45.37114414960
61,AARON AVE @ LENESTER AVE (0002560),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,362235.69320,5025665.52770,-75.76676427620,45.36857926250
62,AARON AVE btwn CARLING AVE & LENESTER AVE (__3ZAAEO),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362178.18545,5025807.52805,-75.76748187780,45.36986167910
63,ABACA WAY btwn KITTIWAKE DR & KITTIWAKE DR (__4TYFW7),2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,348553.74329,5014121.95604,-75.94244082500,45.26569449390
64,ABBEY RD @ ALTA VISTA DR (0007437),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370639.71570,5030054.55140,-75.65890217240,45.40733104830
65,ABBEYDALE CIRC btwn Continuation of ABBEYDALE CIRC & Continuation of A (__5GNZCA),4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348431.66662,5023169.80452,-75.94319988880,45.34711748070
66,ABBEYHILL DR @ CASTLEFRANK RD (0003931),3,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,353223.61890,5017260.45010,-75.88262914270,45.29362948580
67,ABBEYHILL DR @ EAGLESON RD (0003404),28,11,5,2,9,1,0,0,0,0,0,0,1,1,0,0,0,0,353827.62490,5018034.45590,-75.87485237540,45.30055227700
68,ABBEYHILL DR @ SURREY LANE (0003962),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353673.61630,5017965.46430,-75.87682281170,45.29994220670
69,ABBEYHILL DR btwn ALDBURN PL & SHERWOOD ST (__3ZAB1B),5,2,1,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,353346.26101,5017459.49138,-75.88104614070,45.29541204380
70,ABBEYHILL DR btwn OLD COLONY RD & BALBAIR RD (__3ZAB2C),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353516.05213,5017776.56954,-75.87885032020,45.29825343290
71,ABBEYHILL DR btwn ORIOLE AVE & ALDBURN PL (__3ZAB18),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,353277.11890,5017339.95100,-75.88193932020,45.29434116480
72,ABBEYHILL DR btwn SURREY LANE & EAGLESON RD (__3ZAB3W),2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,353748.64465,5018004.21992,-75.87586237110,45.30028571440
73,ABBOTSFORD RD btwn MORRENA RD & MORRENA RD (__3ZAB2Z),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353025.87537,5017717.35293,-75.88510567040,45.29775440570
74,ABBOTT ST    E btwn CARBERY DR & STITTSVILLE MAIN ST (__3ZAC99),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350461.01229,5013521.96922,-75.91819264930,45.26017437520
75,ABBOTT ST    E btwn GRANITE RIDGE DR & TALLTREE CRES (__54PPHJ),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351619.52960,5014556.13510,-75.90333427100,45.26940398140
76,ABBOTT ST    E btwn TALLTREE CRES & IBER RD (__3ZAZSS),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351896.61645,5014803.67645,-75.89977980570,45.27161293280
77,ABBOTT ST    W btwn JONATHAN PACK ST & STITTSVILLE MAIN ST (__3ZABC7),2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350051.99594,5013157.63573,-75.92343720360,45.25692239960
78,ABBOTT ST @ CARBERY DR (0000324),2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,350673.58720,5013712.41370,-75.91546660090,45.26187423100
79,ABBOTT ST @ GRANITE RIDGE DR (0009728),3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,351483.75360,5014434.73340,-75.90507591210,45.26832059670
80,ABBOTT ST @ IBER RD (0010542),8,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,351978.07540,5014876.39610,-75.89873480520,45.27226182530
81,ABBOTT ST @ JONATHAN PACK ST (0000391),2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,349857.58100,5012981.42310,-75.92593012640,45.25534925100
82,ABBOTT ST @ MOSS HILL TR (0000054),3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350943.58770,5013955.42710,-75.91200379130,45.26404328810
83,ABBOTT ST @ SHEA RD (0010341),3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,351158.29140,5014146.61560,-75.90925017780,45.26574954750
84,ABBOTT ST @ STITTSVILLE MAIN ST (0000082),12,2,2,3,2,3,1,0,0,1,0,0,1,0,0,1,0,0,350248.58430,5013331.41690,-75.92091667330,45.25847347360
85,ABBOTT ST W @ WEST RIDGE DR (0009770),2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,349643.11650,5012785.08420,-75.92868015580,45.25359622090
86,ABERDEEN ST @ PRESTON ST (0005695),16,2,5,1,6,2,0,0,0,0,0,0,1,0,1,0,0,0,366651.69470,5029341.56260,-75.70993326920,45.40127954740
87,ABERDEEN ST @ ROCHESTER ST (0002164),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366824.70320,5029414.55960,-75.70771436530,45.40192104800
88,ABERDEEN ST btwn PRESTON ST & END (__3ZA1WR),4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366600.20300,5029318.55890,-75.71059382160,45.40107711360
89,ABERDEEN ST btwn PRESTON ST & ROCHESTER ST (__3ZA4AN),2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366738.64048,5029376.86990,-75.70881833340,45.40158954600
90,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A (__54YR7U),4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,350521.92127,5024046.86223,-75.91644562370,45.35487627880
91,ABETTI RDG/RIVERSTONE DR @ JOCKVALE RD (0009699),7,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,365164.86410,5013549.96900,-75.73084935090,45.25931831960
92,ABETTI RIDGE btwn ESPIN HTS & ESPIN HTS (__6E55NE),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365123.21400,5013380.50150,-75.73140056960,45.25779702240
93,ABETTI RIDGE btwn ESPIN HTS & JOCKVALE RD (__6E55N5),4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,365071.55602,5013498.54760,-75.73204438440,45.25886362940
94,ABINGDON DR @ MONTEREY DR (0001312),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360220.67010,5022200.50320,-75.79287486090,45.33756327370
95,ACACIA AVE @ BEECHWOOD AVE (0005753),8,2,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,369634.70760,5033942.59680,-75.67122795770,45.44240798640
96,ACACIA AVE @ CORONA AVE/RIDEAU TER (0010717),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369548.70230,5034178.59960,-75.67229618170,45.44453941250
97,ACACIA AVE @ CRESCENT RD/THOROLD RD (0005894),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369039.70000,5035181.69510,-75.67867126220,45.45361181630
98,ACACIA AVE @ GREEN AVE (0005902),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369558.70750,5034033.59560,-75.67218737820,45.44323380020
99,ACACIA AVE @ MARIPOSA AVE (0005925),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,369401.69250,5034679.60790,-75.67410947550,45.44906087790
100,ACACIA AVE @ ROCKCLIFFE PKWY (0002628),3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,368702.72600,5035534.24600,-75.68293334920,45.45681482060
101,ACACIA AVE btwn ACACIA LANE & COLTRIN RD (__3ZA86H),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368976.29323,5035378.05942,-75.67945623450,45.45538444630
102,ACACIA AVE btwn RIDEAU TER & CARSDALE AVE (__3ZA8CQ),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,369554.16850,5034141.33055,-75.67223121730,45.44420357530
103,ACACIA AVE btwn RIDEAU TER & OAKHILL RD (__3ZA8C7),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,369534.56102,5034207.35906,-75.67247315200,45.44479948820
104,ACCEPTANCE PL @ HOPE SIDE RD (0015272),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,356552.33500,5015257.14660,-75.84040176480,45.27536613000
105,ACCOLADE PRIV btwn CHARTWELL AVE & CHARTWELL AVE (__8JUURB),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362062.92693,5021622.22077,-75.76943788090,45.33221197210
106,ACKLAM TER btwn AYTON LANE & AYTON LANE (__3ZACVW),2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,349714.46528,5023289.73893,-75.92681953160,45.34811570370
107,ADAMSON CRES btwn WEST RIDGE DR N & WEST RIDGE DR S (__77AXZG),2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,349730.24897,5012160.62516,-75.92762655090,45.24797154350
108,ADELINE ST @ PRESTON ST (0006113),8,2,2,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,366779.70040,5029050.55450,-75.70833490610,45.39864981320
109,ADELINE ST @ ROCHESTER ST (0006095),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366950.70450,5029128.56200,-75.70614105650,45.39933654460
110,ADELINE ST btwn NORFOLK AVE & ROCHESTER ST (__3ZA038),2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366893.70450,5029103.05645,-75.70687226550,45.39911211070
111,ADELINE ST btwn PRESTON ST & END (__3ZA03J),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366723.20410,5029033.05590,-75.70905865950,45.39849736450
112,ADIRONDACK DR @ IRIS ST (0002579),2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362131.69010,5024316.50740,-75.76824839570,45.35644940460
113,ADIRONDACK DR @ WOODROFFE AVE (0005644),11,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,362457.68600,5024005.51210,-75.76412416950,45.35362436210
114,ADIRONDACK DR btwn DOMALATCHY PL & WOODROFFE AVE (__3ZA0BR),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,362343.80063,5023969.28283,-75.76558176710,45.35330772830
115,ADMIRAL AVE @ ANNA AVE (0006794),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,365153.70100,5027266.54230,-75.72932003850,45.38273969580
116,ADMIRAL AVE @ SHILLINGTON AVE (0006768),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,365273.69760,5027075.54380,-75.72781129120,45.38101078030
117,AERO DR @ HOLLY ACRES RD (0001088),5,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,358341.65350,5023227.50230,-75.81673677370,45.34695016390
118,AGES DR @ HAWTHORNE RD (0006397),15,4,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,374971.74120,5027717.53580,-75.60389987930,45.38588286070
119,AGES DR @ LEGACY RD (0005141),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374601.73810,5027551.53980,-75.60864775320,45.38442627670
120,AGES DR btwn LEGACY RD & HAWTHORNE RD (__3ZA10R),4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,374792.65542,5027613.85515,-75.60620124470,45.38496791040
121,AGES DR btwn SWANSEA CRES & LEGACY RD (__3ZAZ6A),3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,374256.59181,5027430.91860,-75.61307163220,45.38337529060
122,AGINCOURT RD @ MAITLAND AVE (0003375),16,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,363446.68660,5025450.52690,-75.75133132340,45.36654442570
123,AGINCOURT RD @ NAVAHO DR (0003363),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363390.68880,5024967.52030,-75.75210338690,45.36220307260
124,AGINCOURT RD btwn ALBANY DR & CANNON CRES (__3ZAAOV),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363346.69100,5025081.02150,-75.75265151380,45.36322801930
125,AGINCOURT RD btwn NAVAHO DR & MALLARD AVE (__3ZAAMZ),2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363449.52755,5024829.34905,-75.75136878490,45.36095490390
126,AHEARN AVE @ DOANE ST (0002790),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359390.66650,5024533.50840,-75.80320675140,45.35862074660
127,AHEARN AVE @ RITCHIE ST (0002791),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359418.66950,5024575.52250,-75.80284470610,45.35899660810
128,AHEARN AVE @ SCRIVENS ST (0002976),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359338.66910,5024457.51110,-75.80387878030,45.35794097010
129,AHEARN AVE btwn CROFT ST & FARROW ST (__3ZABWW),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,359571.20747,5024788.52502,-75.80087424500,45.36090130160
130,AHEARN AVE btwn RITCHIE ST & CROFT ST (__3ZBNG8),2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359472.68700,5024646.92795,-75.80214737710,45.35963490380
131,AINSLEY DR btwn ERINDALE DR & AMESBROOKE DR (__3ZBPLE),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,363850.02480,5024676.13458,-75.74627539160,45.35954267910
132,AINSLEY DR btwn FERGUSON ST & GAGE CRES (__3ZAAKG),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,363436.23795,5024509.38645,-75.75157636370,45.35807702780
133,AIRD PL @ BATON CRT (0003227),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351772.60980,5019020.46610,-75.90096081110,45.30956505560
134,AIRD PL btwn JACKMAN TER & JACKMAN TER (__3ZA50S),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352004.76159,5019227.35544,-75.89798064680,45.31141112890
135,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV (0012331),4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,370593.51690,5020832.92110,-75.66072022950,45.32436212390
136,AIRPORT PARKWAY PRIV btwn AIR CARGO PRIV & AIRPORT PKWY (__3ZA136),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370815.43547,5021023.92839,-75.65786421740,45.32605992200
